LSOA,FTTP_AVAILABILITY,FTTC_AVAILABILITY,GFAST_AVAILABILITY,DSL_AVAILABILITY,CABLE_AVAILABILITY,OPERATOR_COUNT,DOWN_MBPS,UP_MBPS
W01000207,0.304636,0.602649,0,0.754967,0,1.768212,36.53543182,8.017965909
S01012156,0.851852,0.888889,0,0.888889,0,7.037037,54.14321429,12.26964286
E01008962,0.30303,0.636364,0,0.666667,0.939394,5.59375,94.13802381,21.72821429
E01005005,0.050847,1,0,1,0.525424,4.576271,29.79377778,7.776925926
E01032466,0,1,0,1,0.722222,5.361111,51.08079487,8.757512821
95MM01S3,1,0,0,0,0.875,2.6875,97.08486111,12.13347222
S01006891,0.125,1,0,1,0,3,25.81423077,5.518
E01032460,0.465517,0.982759,0,0.982759,0,3.465517,42.39920833,10.11160833
E01016342,0.272727,0.954545,0,0.954545,0.681818,5.295455,39.24319167,11.080575
95DD01W1,0.907692,0.169231,0,0.169231,0.723077,5.169231,91.32711364,14.4202803
E01008191,0,0.666667,0,1,0.962963,5.592593,39.47881944,7.785625
E01029540,0.863636,1,0,1,0.818182,5.454545,29.61538095,4.815642857
E01020501,0,1,0,1,0,3,28.94698889,5.323688889
E01032068,0.391304,0.978261,0,1,0.913043,5.152174,89.13166667,13.94577083
E01006495,0.368421,0.578947,0,0.877193,0.473684,4.263158,66.765875,14.3476
W01000612,0.300885,0.654867,0,0.752212,0,2.752212,22.93765625,5.642390625
E01029620,1,1,0,1,1,6,91.16307407,15.45944444
E01031605,0.181818,0.969697,0,0.969697,0.909091,6.848485,163.2252222,75.53355556
95GG18S1,0.921569,0.078431,0,0.078431,0.921569,4.764706,82.52577083,12.73960417
E01005791,0.931034,0.068966,0,0.068966,0.965517,4.896552,55.26183333,8.1516875
E01021480,0.238095,0.357143,0,0.761905,0.904762,5.142857,41.37032353,7.743676471
E01020078,0.44,1,0,1,0,3.48,27.63456667,7.126166667
S01012103,1,0.782609,0,1,0.956522,8.608696,64.03727273,10.90272727
E01011078,0.153846,0.942308,0,0.961538,0.153846,3.346154,23.25686667,6.691875
E01005701,0.775,0.225,0,0.225,1,5.15,64.19000385,15.8259859
E01013315,0.785714,0.785714,0,0.880952,0.857143,7.047619,63.63155556,11.05355556
E01007515,0.945946,0.054054,0,0.054054,0.945946,5.864865,31.45311111,8.3985
95TT11S1,0.709091,0.927273,0,0.927273,0,3.444444,38.8035,18.53269444
E01018605,0.068182,0.772727,0.204545,0.977273,0.568182,4.863636,36.78631818,7.095
E01027727,0.787879,0.818182,0,0.848485,0.848485,6.424242,65.32155357,11.26273214
E01022067,0.033333,1,0,1,0,3,34.52584722,8.043013889
95RR03W1,1,0,0,0,0.73913,4.478261,58.83055,11.507375
E01024453,0.972222,1,0,1,0,3.972222,33.01565972,7.813690972
E01024924,0.44186,0.697674,0,0.72093,0.023256,5.116279,41.82874359,9.435679487
E01027800,0.285714,0.769231,0,0.78022,0,1.967033,23.05219231,5.385128205
E01021805,0.666667,1,0,1,1,5,35.97595833,6.402916667
S01009495,0,1,0,1,0.9,5.8,28.50685714,7.00547619
95RR15W1,0.638298,0.404255,0,0.425532,0,2.12766,28.58402632,5.714315789
E01000599,0.344828,0.655172,0.103448,0.758621,0,3.655172,26.72583333,4.324351852
E01019463,0.964286,0.035714,0,0.035714,0.892857,4.928571,51.7350625,13.14925
W01000007,0.530435,0.6,0,0.6,0,1.608696,40.02271795,10.36583333
E01000926,0.757576,0.939394,0,0.939394,0.909091,6.575758,73.9785,43.162
E01033488,0.558824,0.558824,0,0.941176,0,4.21875,32.96569444,6.450347222
E01007002,0.391304,0.586957,0,0.586957,0.586957,4.822222,99.93558,16.1078
