"","DZ_code","age_rank","edu_rank","disab_rank","children_rank","housing_rank","income_rank","final_BII_RANK","rank_sum","final_BDDI_RANK"
"135","S01006640",111,139,51,6801,2200,1277,5879,16458,1325
"136","S01006641",499,733,1350,6753,4137,2891,4111,20474,2202
"137","S01006642",143,190,750,6878,3252,2892,5130,19235,1921
"138","S01006643",74,130,277,6923,2305,771,4839,15319,1108
"139","S01006644",57,407,1253,6887,3898,2542,3122,18166,1695
"140","S01006645",684,3362,5428,4601,6817,5864,3461,30217,5122
"141","S01006646",900,296,2409,6934,3648,1753,6901,22841,2742
"142","S01006647",745,2602,2370,5031,6183,4185,6072,27188,4074
"143","S01006648",126,177,1029,6843,4249,2543,5766,20733,2266
"144","S01006649",190,777,1679,6727,5219,4413,3994,22999,2788
"145","S01006650",493,425,961,6832,3521,3463,2003,17698,1600
"146","S01006651",1185,870,1248,6954,3790,3946,4097,22090,2563
"147","S01006652",60,384,171,6958,2184,1278,5514,16549,1348
"148","S01006653",849,291,575,6366,2250,2180,3412,15923,1226
"149","S01006654",1129,3317,5577,5700,6136,5467,1650,28976,4676
"150","S01006655",1263,953,1446,6630,2506,2544,5852,21194,2360
"151","S01006656",393,456,1349,6031,4180,3704,2955,19068,1894
"152","S01006657",234,814,798,6308,4671,3464,1330,17619,1580
"153","S01006658",71,905,419,6291,4687,4186,1257,17816,1619
"154","S01006659",1281,292,908,6673,1614,290,4206,15264,1096
"155","S01006660",178,806,1126,4712,5244,4830,4708,21604,2450
"156","S01006661",1846,338,1111,6744,2310,1279,1664,15292,1099
"157","S01006662",94,633,2467,5007,6218,3705,5893,24017,3060
"158","S01006663",261,167,588,6533,2021,29,4451,14050,871
"159","S01006664",454,326,820,6652,2843,1280,1443,13818,834
"160","S01006665",297,343,601,6925,2328,1754,1438,13686,815
"161","S01006666",2434,5448,4778,6102,6603,5865,1805,33035,5999
"162","S01006667",1742,3847,5975,6173,6850,5963,1347,31897,5683
"163","S01006668",239,285,751,6827,3536,2181,1502,15321,1109
"164","S01006669",2017,991,5593,6818,5948,3947,5541,30855,5332
"165","S01006670",349,572,1342,6963,2549,2893,924,15592,1152
"166","S01006671",308,169,910,6840,2822,30,6543,17622,1584
"167","S01006672",1145,2277,2944,4024,6425,4640,4496,25951,3648
"168","S01006673",715,1246,2329,4618,6583,4414,5465,25370,3474
"169","S01006674",4052,5005,6372,4956,6879,5598,3699,36561,6625
"170","S01006675",207,3452,1148,693,6872,5468,1089,18929,1866
"171","S01006676",1675,4020,4036,3913,6741,5599,1396,27380,4131
"172","S01006677",918,3885,2963,6038,6308,5866,4359,30337,5165
"173","S01006678",468,5543,1295,5221,6051,5169,4316,28063,4370
"174","S01006679",5204,3164,3384,5505,3004,1281,1616,23158,2842
"175","S01006680",804,4913,2380,1589,6867,5469,187,22209,2592
"176","S01006681",6106,5087,6628,6461,6050,5170,5477,40979,6926
"177","S01006682",1279,4213,3401,1521,6833,5600,2514,25361,3470
"178","S01006683",278,2334,1471,2405,6426,5742,1276,19932,2074
"179","S01006684",1059,3559,4144,6206,6517,6264,2990,30739,5300
"180","S01006685",1699,3975,5481,5642,6395,5743,2650,31585,5590
"181","S01006686",2085,5282,4118,3911,5295,4993,2770,28454,4493
"182","S01006687",3276,3878,5566,4184,5068,4641,651,27264,4092
"183","S01006688",6321,4265,6584,6152,5312,3465,243,32342,5807
"184","S01006689",609,350,37,6452,562,31,104,8145,194
"185","S01006690",1895,1546,2870,5864,3051,2894,175,18295,1731
"186","S01006691",2261,1156,612,6295,2084,1282,1175,14865,1017
"187","S01006692",3271,1355,1733,6305,2685,1755,824,17928,1640
"188","S01006693",986,1855,1736,2935,4344,3466,823,16145,1260
"189","S01006694",5949,6766,6763,5599,6754,5322,1815,38968,6850
"190","S01006695",3593,4653,4288,5093,4837,3948,134,26546,3841
"191","S01006696",3352,4593,5557,2815,6257,4415,1141,28130,4390
"192","S01006697",2444,4896,3874,2884,5862,4416,190,24566,3216
"193","S01006698",2072,4679,5769,6183,6561,6067,4266,35597,6500
"194","S01006699",3084,3250,1380,4526,3075,1283,1131,17729,1604
"195","S01006700",4945,3051,4873,6339,5389,3949,4237,32783,5935
"196","S01006701",2324,6415,4568,976,6224,5744,3082,29333,4810
"197","S01006702",3785,6395,4077,3890,4540,2895,421,26003,3661
"198","S01006703",2023,5934,4641,1227,5926,4831,2478,27060,4034
"199","S01006704",2689,6443,6472,2436,6614,5964,1445,32063,5741
"200","S01006705",4304,6800,5425,4799,5967,4832,342,32469,5841
"201","S01006706",1236,5208,4354,1429,5799,4417,771,23214,2857
"202","S01006707",2158,5730,5205,1594,6358,5745,3807,30597,5249
"203","S01006708",3719,5640,5820,4414,5565,4418,1948,31524,5567
"204","S01006709",2285,6019,4218,1218,6071,4833,2157,26801,3944
"205","S01006710",6426,5993,6293,5778,5672,3706,1953,35821,6539
"206","S01006711",5622,5793,6097,6122,6093,4642,1253,35622,6506
"207","S01006712",5041,6452,6598,4714,4645,3196,217,30863,5333
"208","S01006713",3071,6587,6165,3221,5915,4419,306,29684,4945
"209","S01006714",4765,5821,4693,5400,4968,4420,1647,31714,5632
"210","S01006715",567,6444,2835,200,6483,5323,101,21953,2532
"211","S01006716",3096,6269,3842,1471,6023,4834,3688,29223,4772
"212","S01006717",4490,6226,6048,3968,6085,4643,1882,33342,6072
"213","S01006718",2378,6669,4560,2948,5748,4644,836,27783,4271
"214","S01006719",1731,5741,4293,1219,5243,4994,2692,25913,3644
"215","S01006720",2399,6048,2903,2442,5514,4187,1299,24792,3279
"216","S01006721",2099,6610,4533,2387,5873,4645,2708,28855,4626
"217","S01006722",2256,6134,4224,832,5456,3950,525,23377,2902
"218","S01006723",3791,5789,4532,2384,5099,4188,3385,29168,4742
"219","S01006724",492,6673,3032,77,6852,6365,839,24330,3141
"220","S01006725",2335,6317,5572,1302,6017,4835,338,26716,3916
"221","S01006726",1209,5253,6668,3,6965,5965,2902,28965,4673
"222","S01006727",2754,6361,4291,1426,6710,5746,512,27800,4277
"223","S01006728",1401,5528,2304,926,5912,3707,1644,21422,2407
"224","S01006729",866,6289,2706,2957,6281,5747,1340,26186,3715
"225","S01006730",2134,5331,1987,2434,4430,4189,887,21392,2402
"226","S01006731",4317,6706,5677,3664,6117,5171,1601,33253,6049
"227","S01006732",1158,1174,609,5585,1604,1756,5157,17043,1459
"228","S01006733",713,640,270,110,1140,32,5258,8163,195
"229","S01006734",2268,1239,1207,337,710,772,5329,11862,545
"230","S01006735",6140,805,2262,1876,851,33,4346,16313,1297
"231","S01006736",280,439,94,107,1620,773,5087,8400,214
"232","S01006737",1201,1333,122,6474,1310,291,4401,15132,1072
"233","S01006738",527,2546,280,6703,2631,2545,4769,20001,2091
"234","S01006739",373,2724,65,6820,443,774,2589,13788,830
"235","S01006740",3455,5124,3618,4709,4608,2896,4039,28449,4490
"236","S01006741",6264,6246,6161,5943,4991,3708,3596,36909,6662
"237","S01006742",4986,5980,5155,4178,5276,3951,2286,31812,5662
"238","S01006743",1732,3845,1037,6713,2741,775,3805,20648,2238
"239","S01006744",4464,3251,3162,5619,3561,2182,5246,27485,4167
"240","S01006745",3652,5622,5079,5909,5305,4646,4991,35204,6429
"241","S01006746",3526,5778,4875,2849,4756,4421,1959,28164,4403
"242","S01006747",3881,2720,1867,6145,941,1757,3152,20463,2200
"243","S01006748",4050,2929,1108,6430,2230,776,4898,22421,2644
"244","S01006749",5334,5255,4029,3549,4170,3467,252,26056,3685
"245","S01006750",6389,5615,4960,5077,3985,3468,2127,31621,5605
"246","S01006751",5281,4852,5927,4901,5584,3469,3338,33352,6073
"247","S01006752",5296,5189,3730,4332,4627,3197,1548,27919,4315
"248","S01006753",5725,2985,2220,4407,2606,1284,1795,21022,2328
