"","LSOA","age_rank","edu_rank","disab_rank","children_rank","housing_rank","income_rank","final_BII_RANK","rank_sum","final_BDDI_RANK"
"116","E01000124",6440,9606,5433,11747,23576,24030,27673,108505,13540
"117","E01000126",1788,14565,5548,5312,30900,29318,6867,94298,9220
"118","E01000127",5876,21406,6907,3100,29578,26475,982,94324,9231
"119","E01000128",5944,19135,4648,2883,27002,24835,5842,90289,8094
"120","E01000129",7628,24475,6080,6279,29986,27781,12356,114585,15563
"121","E01000130",5404,20048,10596,5454,28451,25908,2571,98432,10423
"122","E01000131",9010,13678,2493,4910,19158,19147,1352,69748,3466
"123","E01000132",2144,21876,5146,1013,30063,26042,72,86356,7069
"124","E01000133",5776,20906,12741,4296,30091,26123,5282,105215,12505
"125","E01000134",5044,18340,3807,2075,26684,25838,1391,83179,6289
"126","E01000135",18926,3032,14323,13142,4675,12772,6581,73451,4192
"127","E01000136",21372,2064,3610,12336,68,3417,21745,64612,2632
"128","E01000137",6351,10774,9481,3839,31160,28914,15334,105853,12698
"129","E01000138",10725,9970,6748,17158,10743,25382,8869,89595,7924
"130","E01000139",14118,2261,1659,15523,7517,13918,9037,64033,2540
"131","E01000140",5419,2392,4805,22434,17663,19376,12362,84451,6581
"132","E01000141",4352,10043,5123,21106,20479,22890,26421,110414,14186
"133","E01000142",9231,6564,9123,9546,15591,20386,24429,94870,9371
"134","E01000143",3861,11961,10003,8135,29310,29104,8683,101057,11188
"135","E01000144",7583,3399,4437,25820,8115,17195,16618,83167,6287
"136","E01000145",12877,8432,5211,7589,2916,14916,6044,57985,1705
"137","E01000146",7661,2532,7822,29045,13974,17320,13722,92076,8611
"138","E01000147",12014,18271,589,7576,537,14728,6647,60362,2009
"139","E01000150",10413,11306,1965,6545,20026,17752,25901,93908,9114
"140","E01000151",1310,22409,17447,652,33639,32467,8377,116301,16132
"141","E01000152",1009,5282,401,1555,29177,30268,10999,78691,5275
"142","E01000153",6315,15752,12436,3900,32803,30681,6480,108367,13495
"143","E01000154",3614,7992,4398,8562,31748,26806,12417,95537,9556
"144","E01000156",6190,2756,1335,1907,9280,12538,14309,48315,774
"145","E01000157",7507,3263,2666,7941,17020,15085,27156,80638,5691
"146","E01000158",10272,5294,10609,4968,19465,20373,9509,80490,5656
"147","E01000159",14870,7615,6119,7209,17470,18613,7152,79048,5344
"148","E01000160",5570,3662,838,8139,8198,11491,7993,45891,617
"149","E01000161",12298,9657,11250,5956,18452,18592,9896,86101,6999
"150","E01000162",22754,11822,22943,7561,14060,19269,15396,113805,15324
"151","E01000163",3496,12197,17476,12515,28550,26944,18132,119310,17088
"152","E01000164",6265,12384,9229,4691,27245,24923,25908,110645,14255
"153","E01000165",13940,6485,6756,6886,10877,17034,5497,67475,3065
"154","E01000166",18388,11533,8731,8884,17530,17605,26288,108959,13702
"155","E01000167",8233,18817,19593,5825,27525,26887,27341,134221,21897
"156","E01000168",25229,6866,6991,17493,2410,6667,10733,76389,4795
"157","E01000169",13274,6270,7235,11334,8998,15053,23778,85942,6962
"158","E01000170",7660,13888,10569,2324,21195,22670,25175,103481,11972
"159","E01000171",2160,9485,6928,3557,13704,26704,19804,82342,6090
"160","E01000172",15586,4648,6625,4309,7836,12539,18601,70144,3547
"161","E01000173",11865,6338,5924,2596,13059,13724,2053,55559,1430
"162","E01000174",10576,10851,14061,6004,15959,20143,10835,88429,7612
"163","E01000175",11005,5595,1153,3671,3910,7180,434,32948,149
"164","E01000176",20239,14829,24091,21920,32228,28815,22175,164297,30091
"165","E01000177",10851,1388,2559,5384,6377,8168,15358,50085,899
"166","E01000178",12076,2247,4724,6706,19470,9695,28093,83011,6253
"167","E01000179",3239,1215,1226,7752,7100,9692,24557,54781,1361
"168","E01000180",15194,4035,11917,14119,28008,20614,24270,118157,16710
"169","E01000181",12134,983,3203,17644,4572,8717,30080,77333,4995
"170","E01000182",13883,1291,8762,20925,8010,4180,25916,82967,6239
"171","E01000183",22213,2265,16921,8527,18955,15196,14122,98199,10348
"172","E01000184",4539,10966,15820,11136,31650,27657,22914,124682,18800
"173","E01000185",9520,8741,20711,18769,32786,28811,19891,139229,23505
"174","E01000186",16589,5950,947,2710,1131,5173,25034,57534,1643
"175","E01000187",17756,11732,4508,5797,22837,19377,13462,95469,9534
"176","E01000188",21504,5591,5280,4539,4110,2348,10925,54297,1304
"177","E01000189",1078,4629,2621,4305,28112,22891,12866,76502,4818
"178","E01000190",18077,5993,6288,3776,14751,15410,7399,71694,3837
"179","E01000191",24223,7872,7079,9100,2430,7942,16718,75364,4570
"180","E01000192",16747,9723,4390,9219,6690,17437,23396,87602,7393
"181","E01000193",12752,10247,6746,9795,7380,15538,25558,88016,7497
"182","E01000194",8285,13590,1942,3371,15288,19511,9177,71164,3737
"183","E01000195",5159,19441,10748,2178,26040,25299,16391,105256,12515
"184","E01000196",11918,3453,11865,30130,6709,15900,26390,106365,12868
"185","E01000197",8936,3375,2948,9376,2359,14582,23189,64765,2659
"186","E01000198",12230,3534,1084,3491,7822,14537,19375,62073,2250
"187","E01000199",27663,2790,6732,16283,2732,8694,27889,92783,8819
"188","E01000200",26234,3284,6749,21408,7833,13725,25212,104445,12257
"189","E01000201",25878,3693,478,7629,1040,4407,11243,54368,1319
"190","E01000202",15910,1874,4005,10489,5959,7137,17822,63196,2427
"191","E01000203",10605,9646,6460,3949,20737,18884,20632,90913,8260
"192","E01000204",21451,2384,5593,14875,14331,11006,28552,98192,10342
"193","E01000205",18477,1573,592,7147,3440,7444,23536,62209,2270
"194","E01000206",22104,2478,179,13941,4782,129,8236,51849,1067
"195","E01000207",26284,1416,4044,13516,8401,4686,22077,80424,5644
"196","E01000208",19075,1004,1272,10523,3607,1624,5804,42909,457
"197","E01000209",32231,1522,8446,26940,19436,6193,17188,111956,14716
"198","E01000210",11155,1204,929,3081,5302,8718,25248,55637,1441
"199","E01000211",7586,6306,10478,14745,11256,18614,26649,95634,9585
"200","E01000212",21688,2093,2706,21703,2451,9957,8127,68725,3278
"201","E01000213",15346,1957,250,2212,17604,1625,14370,53364,1214
"202","E01000214",11811,937,2412,26693,1816,5678,22702,72049,3901
"203","E01000215",11717,18048,2885,3674,14616,17321,13828,82089,6016
"204","E01000216",9732,4016,2421,12487,10722,11707,8541,59626,1899
"205","E01000217",7813,11945,545,3555,4524,10634,6901,45917,618
"206","E01000218",7005,15681,2925,6319,5645,17463,11664,66702,2945
"207","E01000219",3994,18820,1391,5952,8027,16433,2092,56709,1563
"208","E01000220",14934,17092,9063,13313,18758,19270,11154,103584,12005
"209","E01000221",3185,21226,18428,4409,32735,30818,32552,143353,24820
"210","E01000222",5283,10169,6751,6414,16979,24144,13761,83501,6362
"211","E01000223",2726,15837,3819,3868,26126,28422,14469,95267,9475
"212","E01000224",10262,11686,3358,6109,2921,23179,4974,62489,2306
"213","E01000225",12535,11256,2107,3843,21643,10635,11800,73819,4253
"214","E01000226",6620,17181,9474,4917,29802,28366,7893,104253,12204
"215","E01000227",17678,10343,2941,4554,2194,13509,19722,70941,3687
"216","E01000228",11255,6274,3853,3550,18595,13350,32688,89565,7918
"217","E01000229",8852,12969,9052,4594,24073,21418,11519,92477,8734
"218","E01000230",20492,9591,3240,8337,9822,11708,2163,65353,2749
"219","E01000231",7950,5970,2975,2638,9868,17322,27267,73990,4290
"220","E01000232",17804,5297,10442,8778,17774,18885,14450,93430,8991
"221","E01000233",10078,4473,359,3281,5058,11869,2470,37588,255
"222","E01000234",11375,3246,1359,5872,1824,10843,7228,41747,401
"223","E01000235",4111,9371,5514,5297,26235,24234,11612,86374,7076
"224","E01000236",7491,6527,1382,3715,12683,13351,10346,55495,1425
"225","E01000237",5443,3672,574,8204,3733,7943,15989,45558,596
"226","E01000238",4323,6066,1035,2188,12518,16245,10971,53346,1210
"227","E01000239",4069,5545,12878,21442,14752,21654,10918,91258,8371
"228","E01000240",14937,6253,3265,12649,6148,19378,17745,80375,5633
"229","E01000241",12401,3307,2725,12960,10168,11709,8891,62161,2261
"230","E01000242",17455,6085,5150,9576,16088,20272,11241,85867,6947
"231","E01000243",5596,5302,4052,21923,8303,14230,10154,69560,3430
"232","E01000244",9379,4599,5322,19910,17893,12307,15939,85349,6805
"233","E01000245",3691,17417,8295,15323,29558,24725,14072,113081,15067
"234","E01000246",22084,2363,6074,18486,4536,6194,13266,73003,4110
"235","E01000247",8912,3081,4380,11661,8834,12969,8003,57840,1682
"236","E01000248",21054,2230,13094,11252,12604,5679,19229,85142,6754
"237","E01000249",21073,2246,4652,9763,7746,1448,15466,62394,2295
"238","E01000250",12979,5451,10380,19926,18657,18050,24870,110313,14148
"239","E01000251",11834,8546,19364,19037,21395,22586,21248,124010,18570
"240","E01000252",15299,4930,15707,21396,22540,16549,22614,119035,17000
"241","E01000253",22738,4049,3429,9554,3209,5162,26492,74633,4417
"242","E01000254",23062,2453,6794,14695,6609,4181,22343,80137,5579
"243","E01000255",14116,8452,18956,8125,24567,23061,25451,122728,18148
"244","E01000256",13670,5655,1445,4492,12435,13352,25879,76928,4906
"245","E01000257",7422,6858,15417,13900,26898,24551,19114,114160,15444
"246","E01000258",20177,5954,7606,18666,6005,8719,28639,95766,9622
"247","E01000259",11819,4370,3541,5836,11732,16569,15042,68909,3303
"248","E01000260",6771,5267,2370,5541,8443,18345,26374,73111,4137
"249","E01000261",25356,5705,7578,18653,15975,5680,30363,109310,13812
"250","E01000263",14582,2162,323,2421,323,992,30088,50891,970
"251","E01000264",8076,6158,1351,7218,10223,19239,23997,76262,4775
"252","E01000265",9222,6970,8266,6378,16551,21182,5209,73778,4248
"253","E01000266",22036,2988,736,10426,108,5455,1369,43118,468
"254","E01000267",15426,4321,3745,9961,5353,14583,16259,69648,3448
"255","E01000268",8761,5495,4543,10176,13633,22476,26861,91945,8579
"256","E01000269",18505,7708,6693,12735,7151,11482,13815,78089,5153
"257","E01000270",16928,4955,4461,12849,8972,15400,21902,85467,6840
"258","E01000271",22391,4932,5607,14720,3005,4408,5451,60514,2031
"259","E01000272",28052,2981,9183,10460,3322,1970,5721,61689,2197
"260","E01000273",20373,5138,17068,22985,19536,19806,23397,128303,19962
"261","E01000274",10613,10107,6058,4952,22935,19776,8053,82494,6126
"262","E01000275",22898,3017,11601,15153,10393,19379,26392,108833,13666
"263","E01000276",15336,1922,796,1042,1736,1456,6119,28407,75
"264","E01000277",16471,2645,9784,26910,23439,22391,30381,132021,21198
"265","E01000278",16431,2033,1080,2255,656,2555,3655,28665,77
"266","E01000279",26898,4040,1363,15757,2750,354,9898,61060,2101
"267","E01000280",27068,1974,1291,14411,2230,903,4839,52716,1146
"268","E01000281",6549,1679,3416,10592,12626,13726,24112,72700,4039
"269","E01000282",14315,3072,2705,8899,4820,8479,9632,51922,1073
"270","E01000283",21972,2218,2122,6653,2429,1971,250,37615,256
"271","E01000284",9811,7131,7152,18389,18963,21544,22391,105381,12551
"272","E01000285",17782,9795,8235,9710,21131,17606,4671,88930,7756
"273","E01000286",13066,14498,15535,9464,27301,24748,1108,105720,12648
"274","E01000287",12914,21393,18669,6041,28449,23879,2740,114085,15421
"275","E01000288",13664,7558,5534,5202,17838,14903,20877,85576,6872
"276","E01000289",7416,25515,14248,4497,32244,29769,26960,140649,23968
"277","E01000290",24075,18298,15104,17227,20782,19669,22846,138001,23101
"278","E01000291",7872,15667,23411,5877,30999,28242,24250,136318,22550
"279","E01000292",25108,4731,11698,19109,14402,14376,16317,105741,12661
"280","E01000293",17200,2262,5719,13539,6495,8924,19210,73349,4173
"281","E01000294",20509,7486,13690,11455,21229,15744,11530,101643,11374
"282","E01000295",10830,2506,1752,17546,6965,10128,9305,59032,1814
"283","E01000296",6733,2090,1809,11160,7558,14206,19350,62906,2381
"284","E01000297",9095,5088,3446,10334,11764,12316,14100,66143,2855
"285","E01000298",9161,2535,2625,17476,11151,15901,14060,72909,4081
"286","E01000299",8128,7393,8478,9208,10687,19801,20581,84276,6535
"287","E01000300",11899,1873,2617,9641,11017,16689,10624,64360,2594
"288","E01000301",17131,1446,5827,3352,89,6195,17726,51766,1056
"289","E01000302",10906,6874,14437,19203,16243,20470,16117,104250,12202
"290","E01000303",14260,2198,3500,3500,7285,6668,12206,49617,874
"291","E01000304",8698,2397,5826,12623,9113,14762,8724,62143,2259
"292","E01000305",7858,9582,2456,22131,16238,24235,19692,102192,11548
"293","E01000306",7935,17302,707,8734,6982,12540,3236,57436,1633
"294","E01000307",9108,16191,5898,8550,21124,22682,23873,107426,13202
"295","E01000308",4967,5084,6921,24659,26060,27335,17426,112452,14866
"296","E01000309",7966,5276,4142,10052,10082,15233,13231,65982,2825
"297","E01000310",9764,8737,12603,19587,17512,18064,28081,114348,15493
"298","E01000311",6546,3241,277,1900,4037,4925,18432,39358,304
"299","E01000312",2594,18375,8010,15906,25435,22772,24163,117255,16433
"300","E01000313",5540,13581,3228,15202,15335,19023,22003,93912,9116
"301","E01000314",5913,4543,1243,16866,4799,7944,11683,52991,1177
"302","E01000315",9648,19739,20494,8444,30357,29105,16243,134030,21832
"303","E01000316",6737,7906,9804,6836,19760,21746,4289,77078,4940
"304","E01000317",15239,3525,8924,12183,12799,17048,8685,78403,5210
"305","E01000318",18302,10148,7492,8059,7814,19122,19566,90503,8150
"306","E01000319",11831,2876,2095,3069,9766,12773,9095,51505,1031
"307","E01000320",16151,3482,6081,15353,11007,12970,15574,80618,5688
"308","E01000321",10921,4814,7296,20381,9435,17897,20825,91569,8465
"309","E01000322",15014,4244,7381,8924,12871,19802,29043,97279,10047
"310","E01000323",8307,10784,16829,23284,10159,19489,21482,110334,14165
"311","E01000324",11429,7592,6677,4796,13952,15904,10201,70551,3621
"312","E01000325",18269,17390,4021,7708,4295,3939,12341,67963,3149
"313","E01000326",8927,17149,2427,5179,7504,7445,16120,64751,2656
"314","E01000327",23787,19701,5929,10546,9115,4926,13954,87958,7487
"315","E01000328",22799,20683,21985,5604,11322,6669,11034,100096,10921
"316","E01000329",12408,17012,11223,5737,19116,16434,23794,105724,12650
"317","E01000330",22453,22617,16789,24988,20863,18615,15495,141820,24353
"318","E01000331",11039,21002,20478,3485,26947,23073,15664,121688,17831
"319","E01000332",22687,19541,20718,16871,14881,17753,16614,129065,20204
"320","E01000333",13271,24689,13303,9542,23046,24496,18417,126764,19502
"321","E01000334",16789,23236,9899,8806,10101,13512,13950,96293,9771
"322","E01000335",2480,13932,2876,5389,21017,24407,17937,88038,7503
"323","E01000336",4965,21033,16919,4422,30271,27605,24511,129726,20420
"324","E01000337",6458,17462,7772,3180,19549,24319,2953,81693,5923
"325","E01000338",6241,17759,6818,4689,12054,20850,779,69190,3355
"326","E01000339",16807,19614,13949,7620,23052,18216,23696,122954,18212
"327","E01000340",18744,21598,9095,9831,5290,12317,16942,93817,9092
"328","E01000341",24510,25009,10142,16349,5006,9739,25557,116312,16135
"329","E01000342",13736,23442,6318,13238,2431,2989,16216,78370,5204
"330","E01000343",17167,22706,2494,5480,2411,7945,11643,69846,3485
"331","E01000344",17963,17540,12055,9535,3948,2768,7665,71474,3803
"332","E01000345",17702,17188,5091,10168,1773,4409,10169,66500,2902
"333","E01000346",17206,23869,2080,8481,2520,7446,8054,69656,3452
"334","E01000347",20044,25664,6875,12463,7664,12971,20520,106201,12802
"335","E01000348",17357,13730,3440,7987,1579,568,12353,57014,1589
"336","E01000349",21784,15236,5470,7814,1883,6196,24098,82481,6123
"337","E01000350",14820,17915,2739,7199,2138,5681,7780,58272,1730
"338","E01000351",20819,20520,6691,10141,440,6670,6756,72037,3898
"339","E01000352",15882,27142,10650,9016,10998,16736,22610,113034,15054
"340","E01000353",30024,22700,12593,21981,160,5682,8966,102106,11529
"341","E01000354",16993,20647,21149,10955,24299,22293,12268,128604,20058
"342","E01000355",29173,23592,11830,24909,2183,6625,21703,120015,17293
"343","E01000356",27088,19421,6998,13564,2028,7181,16304,92584,8770
